Client_ID,Total_Value,Frequency,LatestInvoiceDate,Recency
12709,30291.76,34,2011-11-24 15:38:00,15
12710,1149.02,3,2011-09-04 12:00:00,97
12711,1339.05,2,2010-04-07 11:59:00,612
12712,6723.03,21,2011-11-11 08:19:00,29
12713,848.55,1,2011-12-09 12:16:00,1
12714,14093.71,12,2011-11-30 15:43:00,9
12715,343.36,1,2011-08-25 15:22:00,106
12716,1053.49,2,2011-12-06 08:55:00,4
12717,1308.91,3,2011-07-11 14:47:00,151
12718,238.25,1,2011-09-29 16:38:00,71
12719,644.95,2,2011-12-04 13:45:00,5
12720,7787.28,30,2011-12-07 08:03:00,3
12721,4013.08,8,2011-11-08 12:13:00,32
12722,997.63,4,2011-09-15 14:50:00,85
12723,725.07,5,2011-12-06 10:19:00,4
12724,2317.52,7,2011-12-04 16:02:00,5
12725,2266.76,4,2010-12-03 15:45:00,371
12726,4014.6,11,2011-11-11 13:35:00,28
12727,5679.53,10,2011-11-29 11:46:00,11
12728,1070.17,5,2011-09-29 15:31:00,71
12729,453.01,1,2011-08-18 11:40:00,114
12730,829.25,1,2010-07-06 12:19:00,522
12731,25775.71,17,2011-11-16 11:59:00,24
12732,236.26000000000002,1,2011-06-13 11:33:00,180
12733,2424.87,4,2011-04-19 16:19:00,234
12734,639.65,3,2010-12-22 12:47:00,353
12735,779.5699999999999,2,2011-01-28 13:37:00,315
12736,234.0,1,2011-01-11 07:57:00,333
12737,3710.5,2,2010-07-29 12:29:00,499
12738,155.35,1,2010-12-02 18:27:00,372
12739,2726.73,4,2011-09-22 13:00:00,78
12740,427.6,1,2011-10-07 10:44:00,64
12741,406.07,2,2010-06-28 14:36:00,529
12742,1201.52,1,2010-03-24 12:43:00,626
12743,540.13,2,2011-07-28 16:21:00,134
12744,25317.06,11,2011-10-19 11:18:00,52
12745,925.41,3,2010-08-10 10:14:00,487
12746,254.55,1,2010-06-17 10:41:00,541
12747,8898.48,26,2011-12-07 14:34:00,2
12748,53539.64,336,2011-12-09 12:20:00,1
12749,6897.36,9,2011-12-06 09:56:00,4
12750,275.88,1,2011-08-03 09:13:00,129
12751,268.27,1,2010-09-21 12:49:00,445
12752,4366.78,1,2011-09-19 13:32:00,81
12753,21429.39,6,2011-11-17 10:52:00,23
12754,3010.74,3,2011-04-18 09:00:00,236
12755,5236.259999999999,11,2011-03-04 12:42:00,281
12756,112.07999999999998,1,2011-09-14 09:31:00,87
12757,7834.650000000001,13,2011-11-24 12:30:00,16
12758,9903.24,7,2011-08-15 10:22:00,117
12759,5020.74,8,2011-10-18 14:49:00,52
12760,347.8,1,2010-09-10 08:50:00,456
12761,782.95,2,2010-09-08 12:17:00,458
12762,1898.52,2,2011-12-02 10:23:00,8
12763,494.08,2,2011-07-24 14:12:00,138
12764,1693.88,1,2011-01-27 10:19:00,317
12765,1404.58,6,2010-08-24 13:51:00,472
12766,8918.99,9,2011-12-06 08:46:00,4
12767,949.82,1,2010-11-29 09:38:00,376
12768,168.69000000000003,1,2010-09-15 12:08:00,451
12769,1143.6,1,2011-04-15 10:25:00,239
12770,3246.45,2,2011-05-13 09:33:00,211
12771,282.3,1,2010-08-11 11:51:00,486
12772,892.47,1,2011-10-11 09:19:00,60
12773,124.25,1,2010-05-24 17:30:00,564
12774,98.7,1,2010-06-22 10:38:00,536
12775,1686.12,7,2011-11-22 16:33:00,17
12776,55.5,1,2010-02-10 12:11:00,668
12777,519.45,1,2010-09-08 11:35:00,458
12778,1775.68,9,2011-11-20 11:30:00,20
12779,6474.11,14,2011-11-02 11:43:00,38
12780,337.4,1,2010-04-20 09:40:00,599
12781,826.74,2,2011-10-07 10:37:00,64
12782,4618.24,11,2011-12-05 09:16:00,5
12783,2225.91,6,2011-12-07 15:56:00,2
12784,1763.15,3,2011-11-30 15:38:00,9
12785,1100.4,3,2010-12-10 13:48:00,364
12786,728.5,1,2010-04-09 12:12:00,610
12787,862.18,4,2011-11-30 08:44:00,10
12788,444.9,4,2010-09-02 14:21:00,463
12789,273.35,3,2011-10-05 13:34:00,65
12790,591.85,2,2011-05-31 14:14:00,192
12791,863.51,6,2010-12-01 11:27:00,374
12792,827.01,2,2011-03-28 11:36:00,257
12793,885.53,3,2011-01-09 12:12:00,335
12794,860.41,2,2011-10-17 14:54:00,53
12795,430.48,1,2011-11-21 10:27:00,19
12796,381.0,1,2010-03-21 15:49:00,628
12797,552.08,2,2010-12-09 10:55:00,366
12798,8510.93,4,2011-11-29 15:52:00,10
12799,219.35,1,2010-06-28 15:57:00,529
12800,584.25,3,2010-08-26 14:11:00,470
12801,1071.82,1,2010-07-27 09:38:00,501
12802,2416.42,7,2011-06-06 09:36:00,187
12803,1092.81,1,2010-11-11 14:57:00,393
12804,325.37,2,2010-08-31 11:58:00,466
12805,1434.95,4,2010-11-23 12:27:00,382
12806,2878.96,4,2010-09-30 13:34:00,435
12807,330.35,1,2010-11-21 14:21:00,383
12808,776.7,5,2011-11-03 10:05:00,37
12809,1755.94,3,2011-06-15 10:51:00,178
12810,534.99,2,2010-06-23 10:53:00,535
12811,1033.9,5,2011-03-24 09:42:00,261
12812,229.64000000000001,1,2011-10-26 09:54:00,45
12813,1687.8,3,2010-07-26 09:50:00,502
12814,125.92,1,2011-08-30 12:11:00,102
12815,1063.46,2,2011-07-15 10:21:00,148
12816,572.2,2,2011-09-05 12:41:00,96
12817,690.98,3,2011-03-03 16:28:00,281
12818,1542.08,1,2011-03-23 12:06:00,262
12819,540.52,1,2010-09-07 15:20:00,458
12820,2689.52,11,2011-12-06 15:12:00,3
12821,220.8,2,2011-05-09 15:51:00,214
12822,948.88,2,2011-09-30 10:04:00,71
12823,6501.5,18,2011-09-26 07:35:00,75
12824,397.12,1,2011-10-11 12:49:00,60
12825,518.63,2,2010-07-06 13:56:00,521
12826,2800.75,12,2011-12-07 10:25:00,3
12827,430.15000000000003,3,2011-12-04 12:17:00,6
12828,1018.71,6,2011-12-07 08:45:00,3
12829,385.3,3,2011-01-07 11:13:00,337
12830,6814.64,6,2011-11-02 11:54:00,38
12831,451.11,3,2011-03-22 13:02:00,262
12832,383.03,2,2011-11-07 13:30:00,32
12833,417.38,1,2011-07-17 13:46:00,145
12834,312.38,1,2011-03-02 09:49:00,283
12835,5996.83,41,2010-10-08 10:59:00,428
12836,6559.7300000000005,15,2011-10-11 15:10:00,59
12837,662.66,2,2011-06-19 16:07:00,173
12838,2975.91,10,2011-11-06 12:20:00,34
12839,9669.12,26,2011-12-07 12:33:00,3
12840,4041.97,7,2011-07-19 09:29:00,144
12841,6958.2,40,2011-12-05 11:13:00,5
12842,1917.99,4,2011-09-30 15:33:00,70
12843,6583.36,30,2011-10-05 12:09:00,66
12844,648.6,4,2011-11-10 13:31:00,29
12845,354.09,4,2011-03-17 13:34:00,267
12846,15.58,1,2010-01-26 16:29:00,682
12847,1609.0,2,2011-11-17 13:16:00,22
12848,208.0,1,2010-02-02 12:45:00,676
12849,3042.47,6,2011-11-08 13:41:00,31
12850,330.0,1,2010-09-20 12:26:00,446
12851,280.76,2,2011-09-04 12:41:00,97
12852,311.55,1,2011-02-18 08:47:00,295
12853,3907.5,11,2011-07-28 11:29:00,135
12854,2970.9700000000003,7,2011-09-22 12:15:00,79
12855,612.84,4,2010-12-02 09:37:00,373
12856,2170.78,6,2011-12-02 10:52:00,8
12857,3688.0,6,2011-05-13 10:20:00,211
12858,147.27,1,2010-11-21 12:55:00,383
12859,575.1,1,2010-09-07 12:20:00,459
12860,54.22,1,2010-01-15 15:22:00,693
12861,68.25,1,2010-03-30 11:39:00,620
12862,984.62,2,2010-10-10 11:47:00,426
12863,2792.5499999999997,6,2011-10-18 14:15:00,52
12864,299.57,2,2011-07-24 13:03:00,138
12865,3323.47,4,2011-11-13 14:31:00,26
12866,1227.35,3,2011-03-01 14:11:00,283
12867,7829.26,13,2011-11-13 15:30:00,26
12868,2043.76,8,2011-06-07 10:42:00,186
12869,337.66999999999996,1,2010-01-27 12:10:00,682
12870,1676.95,3,2010-11-29 13:42:00,375
12871,744.02,3,2011-09-16 15:07:00,84
12872,3283.96,12,2011-01-17 10:52:00,327
12873,2027.3,3,2011-03-02 14:58:00,282
12874,948.42,2,2010-11-19 15:23:00,385
12875,1356.99,5,2011-07-19 15:30:00,143
12876,4081.79,4,2011-10-13 12:26:00,58
12877,2942.14,20,2011-12-06 10:30:00,4
12878,854.99,2,2011-04-17 13:07:00,236
12879,573.22,3,2011-10-26 12:24:00,45
12880,640.13,2,2010-11-23 10:50:00,382
12881,298.0,1,2011-03-09 11:44:00,276
12882,1463.04,2,2011-11-30 16:18:00,9
12883,703.47,4,2011-11-15 09:32:00,25
12884,309.05,1,2011-09-12 13:10:00,88
12885,1175.22,3,2011-10-07 13:40:00,63
12886,1378.4,2,2011-10-03 10:09:00,68
12887,222.4,1,2010-11-21 11:18:00,384
12888,354.12,2,2011-05-09 16:02:00,214
12889,385.46000000000004,4,2010-11-23 16:08:00,381
12890,706.02,2,2011-11-15 17:26:00,24
12891,840.5,11,2011-06-07 12:31:00,186
12892,263.38,1,2010-11-08 09:51:00,397
12893,176.55,1,2011-11-09 12:34:00,31
12894,157.35,1,2010-05-13 14:47:00,575
12895,372.8,2,2011-10-28 13:51:00,42
12897,514.25,4,2011-05-19 12:13:00,205
12898,296.21000000000004,2,2010-09-02 08:08:00,464
12899,366.4,1,2010-10-22 09:53:00,414
12900,340.33,1,2010-10-13 15:17:00,422
12901,17654.54,28,2011-12-01 10:07:00,9
12902,138.68,1,2011-03-20 12:06:00,265
12903,833.53,1,2010-10-07 12:39:00,429
12904,496.06,2,2011-11-21 14:34:00,18
12905,1018.42,2,2010-05-12 10:05:00,577
12906,2919.81,5,2011-11-28 09:55:00,12
12907,508.91,2,2010-11-09 12:08:00,396
12908,1776.0,5,2011-06-16 15:39:00,176
12909,3103.19,8,2011-10-31 12:43:00,40
